Symbol
K
CSIQ
PEP
BIIB
CSCO
ALL
HSIC
SO
LVS
CXW
DOV
ENB
NLOK
WEN
ZION
ETN
IT
MXIM
KEYS
ADP
MRO
WTW
MAR
RL
BR
CVS
RTX
NKLA
ABMD
ROK
TER
LW
ALLE
CNP
AEE
NUE
HON
PNC
VNO
SYY
COR
IP
PLTR
BRK-B
QCOM
MPWR
AMAT
GWW
L
ES
JKS
UHS
SNDL
AMP
FBHS
MS
LDOS
AEP
TRMB
JBHT
SQ
USM
JNJ
CME
PSA
AMZN
JD
CPT
CTXS
BXP
REG
NIO
NOVA
DXC
WMB
HPE
EXR
AZO
TDG
TGT
GL
HAS
NRG
AON
AGCO
CS
BE
AMGN
BMO
DDOG
PSX
CHD
ARG
LH
MKC
SBAC
MSI
RMD
DHI
MSCI
CRL
LULU
MCV
SHW
TFC
KIM
ISRG
UTX
KLAC
HAL
PYPL
PANW
ITW
HRL
STX
SWK
SBUX
AAP
CM
PDD
CBOE
USB
URI
NET
MET
BKNG
ALB
DISCA
KR
OTIS
EMR
META
RTN
NWSA
FIS
TDY
BB
SLG
JEC
O
PFE
APH
CNC
OMC
CLOV
DISCK
MRNA
TFX
FRT
KRC
FFIV
J
ZBH
FDS
ACN
SYK
DVA
EBAY
FICO
STE
ADM
AVB
MSTR
MTD
FTNT
RF
ZBRA
PLUG
SPWR
INTU
ATO
EXPE
TMUS
OC
INVH
DXCM
MAS
OKE
ARW
MA
DOW
LUV
DHR
ICE
DAL
HYLN
ADI
MNDT
PEB
CPB
GPN
CTSH
BWA
OXY
GIS
TYL
BCS
ALNY
NSC
XOM
ABNB
INFO
VLO
ROP
A
NOV
UNH
CAH
EMN
ZTS
DISH
C
TRV
MMC
SEDG
RHI
TT
AN
TECH
WM
IBM
AEL
MO
RVTY
HSY
ECL
DLTR
VRSN
SMFG
LMT
MELI
EQIX
CVX
DNUT
PRU
SEE
EW
ADSK
NOC
RUN
EXPD
IRM
PHM
FDX
AXP
FITB
ING
NLSN
LOW
JASO
GLW
REGN
CDW
FANG
AMCR
SAN
LYB
ATVI
HES
CFG
HP
KO
COG
FRC
NAVI
PKI
VIAC
MMM
COIN
JCI
ALRM
PM
DLR
LYV
VTR
MYL
PWR
SHOP
CRWD
EFX
NVR
XYL
TMO
AFL
FI
MCHP
HCA
FTV
ABC
HOLX
IBKR
ET
DEN
PG
MTCH
CHRW
ELV
NEM
ADS
HPQ
GILD
F
AJG
OKTA
NFLX
HOOD
VZ
SCHW
MLM
MPC
CCI
CAG
SRE
BALL
SPGI
XEL
ARE
SEIC
GOOG
KMX
ORCL
GM
GD
AXON
ED
ESS
RCL
MU
DOCU
FOX
KMI
GRMN
VRSK
WBD
INCY
PBCT
BBY
DTE
XRX
BKR
AFRM
FOXA
GNRC
UBS
ASML
CBRE
ILMN
AAPL
PFG
NTRS
RY
LEN
NA
XPEV
KRNT
NDAQ
D
CPRT
NOW
GS
AMD
APAM
MDLZ
CI
CDNS
CIT
TJX
CARR
NWS
SJM
COF
PLD
TCOM
MKTX
BA
WU
EQT
WRB
UPST
SIVB
CEG
EL
CB
TXN
FMC
NTAP
BSX
FAST
BIO
CXP
CHTR
MAA
SWKS
CMA
TEL
POOL
ULTA
MCK
AMC
PODD
TAP
ALLY
CCO
DIS
EOG
LB
NEE
PAYC
AIMC
ANET
EA
PCAR
TSCO
TWLO
BABA
CTLT
DFIN
JNPR
FISV
CMCSA
TXT
EPAM
PPG
MCD
RE
MVIS
IFF
NOK
BIDU
IQV
PAYX
WERN
DFS
BHF
HD
CMG
KHC
HIG
CTAS
MOS
AVGO
WYNN
APTV
MNST
SNA
MTB
SLB
BBWI
NWL
YUM
ANSS
PGR
BAC
ROST
WAT
ACAD
BF-B
TSN
CL
WDC
EXC
ACI
HWM
PPL
FE
NMR
IVZ
WFC
AYI
T
TD
BRO
WELL
WAB
SNOW
ACM
CMI
HUM
SPG
CINF
LI
DD
AME
WY
MDT
ALSN
ZM
NBL
LNC
DB
TTWO
COST
MGM
APO
LLY
CLX
DRI
KEY
IEX
AIR
LIN
APA
ON
ADBE
CMS
EIX
RJF
XRAY
AWK
AVY
WRK
CCL
HLT
BG
NCLH
UAL
EVRG
FCX
ETR
LRCX
WEC
BMY
WORK
VRTX
PVH
PTC
HBAN
BK
KMB
WBA
ALGN
MCO
MHK
ACGL
CSX
DPZ
QRVO
IPG
AIG
APP
STZ
JPM
BNGO
SPCE
IDXX
AGNC
IR
BLK
ORLY
AKAM
CRM
NI
BEN
TROW
NDSN
DVN
FB
LNT
DE
WST
DUK
RIVN
CF
ROL
ENPH
UPS
EQR
DG
UNP
HII
PNW
WMT
AOS
SE
WHR
AMT
ABBV
CE
KSU
BAX
ALK
COP
RSG
GME
VAR
V
ODFL
CAT
LKQ
TPR
COO
GPC
INTC
GOOGL
ZS
CHPT
STT
FSLR
TWTR
LHX
MRK
APD
PNR
PH
DECK
TSLA
VFC
MSFT
VMC
SNPS
NVDA
CTVA
SYF
BDX
DNB
NKE
AES
GE
LCID
APOG
ABT
UNM
MKT
